Date,UTXO Set Size
2012-05-23,1593305
2012-05-24,1597344
2012-05-25,1601140
2012-05-26,1604794
2012-05-27,1608384
2012-05-28,1611586
2012-05-29,1613742
2012-05-30,1616704
2012-05-31,1618863
2012-06-01,1622353
2012-06-02,1625817
2012-06-03,1629828
2012-06-04,1634087
2012-06-05,1635246
2012-06-06,1640197
2012-06-07,1642978
2012-06-08,1644876
2012-06-09,1645070
2012-06-10,1649156
2012-06-11,1655141
2012-06-12,1659664
2012-06-13,1663764
2012-06-14,1671741
2012-06-15,1674991
2012-06-16,1678492
2012-06-17,1679787
2012-06-18,1691343
2012-06-19,1694782
2012-06-20,1697849
2012-06-21,1704306
2012-06-22,1709274
2012-06-23,1711190
2012-06-24,1715127
2012-06-25,1717652
2012-06-26,1722149
2012-06-27,1730243
2012-06-28,1737682
2012-06-29,1742365
2012-06-30,1749437
2012-07-01,1755535
2012-07-02,1761242
2012-07-03,1767445
2012-07-04,1773213
2012-07-05,1779259
2012-07-06,1784177
2012-07-07,1789384
2012-07-08,1792815
2012-07-09,1798366
2012-07-10,1803713
2012-07-11,1808155
2012-07-12,1812430
2012-07-13,1815029
2012-07-14,1817744
2012-07-15,1821701
2012-07-16,1825634
2012-07-17,1827805
2012-07-18,1830003
2012-07-19,1829688
2012-07-20,1830531
2012-07-21,1836727
2012-07-22,1843709
2012-07-23,1853101
2012-07-24,1858266
2012-07-25,1863375
2012-07-26,1871645
2012-07-27,1877458
2012-07-28,1886063
2012-07-29,1898430
2012-07-30,1904888
2012-07-31,1904178
2012-08-01,1907908
2012-08-02,1912290
2012-08-03,1916025
2012-08-04,1922005
2012-08-05,1926527
2012-08-06,1933906
2012-08-07,1943147
2012-08-08,1953684
2012-08-09,1962086
2012-08-10,1965296
2012-08-11,1974752
2012-08-12,1985312
2012-08-13,2000534
2012-08-14,2020305
2012-08-15,2029940
2012-08-16,2037244
2012-08-17,2040563
2012-08-18,2042948
2012-08-19,2049091
2012-08-20,2039016
2012-08-21,2042268
2012-08-22,2054639
2012-08-23,2062431
2012-08-24,2073990
2012-08-25,2083673
2012-08-26,2091837
2012-08-27,2099328
2012-08-28,2105593
2012-08-29,2117668
2012-08-30,2127528
2012-08-31,2133439
2012-09-01,2141562
2012-09-02,2152193
2012-09-03,2162223
2012-09-04,2168425
2012-09-05,2173096
2012-09-06,2177195
2012-09-07,2185361
2012-09-08,2191506
2012-09-09,2198961
2012-09-10,2207918
2012-09-11,2216698
2012-09-12,2228595
2012-09-13,2239056
2012-09-14,2246130
